DATE,TIME,NB_ JUNCTIONS,NB_speed,NB_traffic_conditions,SB_JUNCTIONS,SB_speed,SB_traffic_conditions,DAYS
22/02/2022,9,J35A - J36,67,None,J36 - J35A,70,None,Tuesday
22/02/2022,9,J35 - J35A,70,None,J35A - J35,70,None,Tuesday
22/02/2022,9,J34 - J35,68,None,J35 - J34,65,None,Tuesday
22/02/2022,9,J33 - J34,63,None,J34 - J33,62,None,Tuesday
22/02/2022,9,J32 - J33,64,None,J33 - J32,66,None,Tuesday
22/02/2022,9,J31 - J32,68,None,J32 - J31,68,None,Tuesday
22/02/2022,9,J30 - J31,70,None,J31 - J30,67,None,Tuesday
22/02/2022,9,J29A - J30,68,None,J30 - J29A,66,None,Tuesday
22/02/2022,9,J29 - J29A,70,None,J29A - J29,69,None,Tuesday
22/02/2022,9,J28 - J29,70,None,J29 - J28,68,None,Tuesday
22/02/2022,9,J27 - J28,70,None,J28 - J27,69,None,Tuesday
22/02/2022,9,J26 - J27,70,None,J27 - J26,70,None,Tuesday
22/02/2022,9,J25 - J26,68,None,J26 - J25,70,None,Tuesday
22/02/2022,9,J24A -J25,68,None,J25 - J24A,70,None,Tuesday
22/02/2022,9,J24 - J24A,70,None,J24A - J24,68,None,Tuesday
22/02/2022,9,J23A - J24,70,None,J24 - J23A,67,Roadworks,Tuesday
22/02/2022,9,J23 - J23A,70,None,J23A - J23,67,Roadworks,Tuesday
22/02/2022,9,J22 - J23,70,None,J23 - J22,70,None,Tuesday
22/02/2022,9,J21A - J22,70,None,J22 - J21A,70,None,Tuesday
22/02/2022,9,J21- J21A,67,None,J21A - J21,70,Roadworks,Tuesday
22/02/2022,9,J20 - J21,69,None,J21 - J20,70,Roadworks,Tuesday
22/02/2022,9,J19 - J20,67,None,J20 - J19,70,None,Tuesday
22/02/2022,9,J18 - J19,70,None,J19 - J18,70,None,Tuesday
22/02/2022,9,J17 - J18,70,None,J18 - J17,70,None,Tuesday
22/02/2022,9,J16 - J17,68,None,J17 - J16,66,None,Tuesday
22/02/2022,9,J15A - J16,57,None,J16 - J15A,57,None,Tuesday
22/02/2022,9,J15 - J15A,58,None,J15A - J15,55,Roadworks,Tuesday
22/02/2022,9,J14 - J15,57,Roadworks,J15 - J14,3,Roadworks,Tuesday
22/02/2022,9,J13 - J14,7,Incident,J14 - J13,58,Roadworks,Tuesday
22/02/2022,9,J12 - J13,55,Roadworks,J13 - J12,67,None,Tuesday
22/02/2022,9,J11A -  J12,70,None,J12 - J11A,65,None,Tuesday
22/02/2022,9,J11 - J11A,68,None,J11A - J11,65,None,Tuesday
22/02/2022,9,J10 - J11,65,None,J11 - J10,67,None,Tuesday
22/02/2022,9,J9 - J10,66,None,J10 - J9,70,None,Tuesday
22/02/2022,9,J8 -J9,68,None,J9 - J8,68,None,Tuesday
22/02/2022,9,J7 - J8,66,None,J8 - J7,56,None,Tuesday
22/02/2022,9,J6A -  J7,65,None,J7 - J6A,68,None,Tuesday
22/02/2022,9,J6 - J6A,67,None,J6A - J6,68,None,Tuesday
22/02/2022,9,J5 - J6,70,None,J6 - J5,70,None,Tuesday
22/02/2022,9,J4 - J5,70,Roadworks,J5 - J4,70,None,Tuesday
22/02/2022,9,J2 - J4,70,None,J4 - J2,70,None,Tuesday
22/02/2022,9,J1 - J2,66,None,J2 - J1,58,None,Tuesday
22/02/2022,12,J46 - J47,70,None,J47 - J46,70,None,Tuesday
22/02/2022,12,J45 -J46,68,None,J46 - J45,70,None,Tuesday
22/02/2022,12,J43|44 - J45,70,None,J45 - J43|44,70,None,Tuesday
22/02/2022,12,J42 - J43|44,67,None,J43|44 - J42,68,None,Tuesday
22/02/2022,12,J41 - J42,66,None,J42 - J41,68,None,Tuesday
22/02/2022,12,J40 - J41,66,None,J41 - J40,69,None,Tuesday
22/02/2022,12,J39- J40,66,None,J40 - J39,69,None,Tuesday
22/02/2022,12,J38 - J39,69,None,J39 - J38,70,None,Tuesday
22/02/2022,12,J37 - J38,70,None,J38 - J37,70,None,Tuesday
22/02/2022,12,J36 - J37,68,None,J37 - J36,68,None,Tuesday
22/02/2022,12,J35A - J36,70,None,J36 - J35A,66,None,Tuesday
22/02/2022,12,J35 - J35A,69,None,J35A - J35,70,None,Tuesday
22/02/2022,12,J34 - J35,65,None,J35 - J34,69,None,Tuesday
22/02/2022,12,J33 - J34,60,None,J34 - J33,62,None,Tuesday
22/02/2022,12,J32 - J33,42,Congestion,J33 - J32,63,None,Tuesday
22/02/2022,12,J31 - J32,11,Roadworks,J32 - J31,63,None,Tuesday
22/02/2022,12,J30 - J31,33,Roadworks,J31 - J30,67,None,Tuesday
22/02/2022,12,J29A - J30,60,None,J30 - J29A,63,None,Tuesday
22/02/2022,12,J29 - J29A,70,None,J29A - J29,66,None,Tuesday
22/02/2022,12,J28 - J29,68,None,J29 - J28,68,None,Tuesday
22/02/2022,12,J27 - J28,69,None,J28 - J27,67,None,Tuesday
22/02/2022,12,J26 - J27,70,None,J27 - J26,70,None,Tuesday
22/02/2022,12,J25 - J26,70,None,J26 - J25,70,None,Tuesday
22/02/2022,12,J24A -J25,69,None,J25 - J24A,66,None,Tuesday
22/02/2022,12,J24 - J24A,68,None,J24A - J24,66,None,Tuesday
22/02/2022,12,J23A - J24,65,None,J24 - J23A,64,None,Tuesday
22/02/2022,12,J23 - J23A,66,None,J23A - J23,69,None,Tuesday
22/02/2022,12,J22 - J23,68,None,J23 - J22,68,None,Tuesday
22/02/2022,12,J21A - J22,66,None,J22 - J21A,70,None,Tuesday
22/02/2022,12,J21- J21A,62,None,J21A - J21,69,None,Tuesday
22/02/2022,12,J20 - J21,70,None,J21 - J20,70,None,Tuesday
22/02/2022,12,J19 - J20,70,None,J20 - J19,68,None,Tuesday
22/02/2022,12,J18 - J19,69,None,J19 - J18,63,None,Tuesday
22/02/2022,12,J17 - J18,70,None,J18 - J17,63,None,Tuesday
22/02/2022,12,J16 - J17,61,None,J17 - J16,64,None,Tuesday
22/02/2022,12,J15A - J16,51,None,J16 - J15A,57,None,Tuesday
22/02/2022,12,J15 - J15A,49,Roadworks,J15A - J15,57,None,Tuesday
22/02/2022,12,J14 - J15,56,None,J15 - J14,57,None,Tuesday
22/02/2022,12,J13 - J14,60,None,J14 - J13,60,None,Tuesday
22/02/2022,12,J12 - J13,66,None,J13 - J12,61,None,Tuesday
22/02/2022,12,J11A -  J12,64,None,J12 - J11A,61,None,Tuesday
22/02/2022,12,J11 - J11A,63,None,J11A - J11,55,None,Tuesday
22/02/2022,12,J10 - J11,61,None,J11 - J10,55,None,Tuesday
22/02/2022,12,J9 - J10,69,None,J10 - J9,36,Roadworks,Tuesday
22/02/2022,12,J8 -J9,28,None,J9 - J8,24,Roadworks,Tuesday
22/02/2022,12,J7 - J8,40,None,J8 - J7,49,Congestion,Tuesday
22/02/2022,12,J6A -  J7,20,None,J7 - J6A,43,Congestion,Tuesday
22/02/2022,12,J6 - J6A,58,None,J6A - J6,70,None,Tuesday
22/02/2022,12,J5 - J6,69,None,J6 - J5,68,None,Tuesday
22/02/2022,12,J4 - J5,69,None,J5 - J4,65,None,Tuesday
22/02/2022,12,J2 - J4,69,None,J4 - J2,68,None,Tuesday
22/02/2022,12,J1 - J2,62,None,J2 - J1,40,None,Tuesday
22/02/2022,15,J47- J48,70,None,J48 - J47,65,None,Tuesday
22/02/2022,15,J46 - J47,68,Roadworks,J47 - J46,64,None,Tuesday
22/02/2022,15,J45 -J46,70,None,J46 - J45,62,None,Tuesday
22/02/2022,15,J43|44 - J45,65,None,J45 - J43|44,61,None,Tuesday
22/02/2022,15,J42 - J43|44,63,None,J43|44 - J42,70,None,Tuesday
22/02/2022,15,J41 - J42,62,None,J42 - J41,70,None,Tuesday
22/02/2022,15,J40 - J41,58,None,J41 - J40,70,Roadworks,Tuesday
22/02/2022,15,J39- J40,58,None,J40 - J39,66,Roadworks,Tuesday
22/02/2022,15,J38 - J39,68,None,J39 - J38,69,None,Tuesday
22/02/2022,15,J37 - J38,70,None,J38 - J37,70,None,Tuesday
22/02/2022,15,J36 - J37,70,None,J37 - J36,66,None,Tuesday
22/02/2022,15,J35A - J36,69,None,J36 - J35A,68,None,Tuesday
22/02/2022,15,J35 - J35A,56,Incident,J35A - J35,61,None,Tuesday
22/02/2022,15,J34 - J35,62,None,J35 - J34,62,None,Tuesday
22/02/2022,15,J33 - J34,64,None,J34 - J33,63,None,Tuesday
22/02/2022,15,J32 - J33,69,None,J33 - J32,58,Roadworks,Tuesday
22/02/2022,15,J31 - J32,68,None,J32 - J31,56,Roadworks,Tuesday
22/02/2022,15,J30 - J31,67,None,J31 - J30,57,Roadworks,Tuesday
22/02/2022,15,J29A - J30,52,Roadworks,J30 - J29A,59,None,Tuesday
22/02/2022,15,J29 - J29A,67,Roadworks,J29A - J29,56,None,Tuesday
22/02/2022,15,J28 - J29,62,Roadworks,J29 - J28,67,None,Tuesday
22/02/2022,15,J27 - J28,70,None,J28 - J27,67,None,Tuesday
22/02/2022,15,J26 - J27,70,None,J27 - J26,62,None,Tuesday
22/02/2022,15,J25 - J26,69,None,J26 - J25,60,None,Tuesday
22/02/2022,15,J24A -J25,69,None,J25 - J24A,63,Roadworks,Tuesday
22/02/2022,15,J24 - J24A,69,None,J24A - J24,62,None,Tuesday
22/02/2022,15,J23A - J24,69,None,J24 - J23A,31,Roadworks,Tuesday
22/02/2022,15,J23 - J23A,23,Congestion,J23A - J23,65,Roadworks,Tuesday
22/02/2022,15,J22 - J23,63,None,J23 - J22,63,Roadworks,Tuesday
22/02/2022,15,J21A - J22,60,None,J22 - J21A,62,None,Tuesday
22/02/2022,15,J21- J21A,59,None,J21A - J21,57,Roadworks,Tuesday
22/02/2022,15,J20 - J21,58,Roadworks,J21 - J20,60,Roadworks,Tuesday
22/02/2022,15,J19 - J20,62,None,J20 - J19,69,None,Tuesday
22/02/2022,15,J18 - J19,64,None,J19 - J18,68,None,Tuesday
22/02/2022,15,J17 - J18,58,None,J18 - J17,69,None,Tuesday
22/02/2022,15,J16 - J17,52,Incident,J17 - J16,64,None,Tuesday
22/02/2022,15,J15A - J16,55,None,J16 - J15A,58,None,Tuesday
22/02/2022,15,J15 - J15A,55,None,J15A - J15,58,Roadworks,Tuesday
22/02/2022,15,J14 - J15,2,Roadworks,J15 - J14,58,Roadworks,Tuesday
22/02/2022,15,J13 - J14,38,Roadworks,J14 - J13,69,Roadworks,Tuesday
22/02/2022,15,J12 - J13,56,None,J13 - J12,53,Roadworks,Tuesday
22/02/2022,15,J11A -  J12,68,Roadworks,J12 - J11A,63,None,Tuesday
22/02/2022,15,J11 - J11A,64,None,J11A - J11,59,None,Tuesday
22/02/2022,15,J10 - J11,63,None,J11 - J10,62,None,Tuesday
22/02/2022,15,J9 - J10,62,None,J10 - J9,61,None,Tuesday
22/02/2022,15,J8 -J9,64,None,J9 - J8,58,None,Tuesday
22/02/2022,15,J7 - J8,58,None,J8 - J7,53,Roadworks,Tuesday
22/02/2022,15,J6A -  J7,62,Roadworks,J7 - J6A,63,None,Tuesday
22/02/2022,15,J6 - J6A,57,None,J6A - J6,70,None,Tuesday
22/02/2022,15,J5 - J6,63,None,J6 - J5,70,None,Tuesday
22/02/2022,15,J4 - J5,54,Roadworks,J5 - J4,58,Roadworks,Tuesday
22/02/2022,15,J2 - J4,62,None,J4 - J2,65,Roadworks,Tuesday
22/02/2022,15,J1 - J2,59,None,J2 - J1,65,Roadworks,Tuesday
22/02/2022,18,J47- J48,70,None,J48 - J47,56,None,Tuesday
22/02/2022,18,J46 - J47,68,None,J47 - J46,70,None,Tuesday
22/02/2022,18,J45 -J46,68,None,J46 - J45,68,None,Tuesday
22/02/2022,18,J43|44 - J45,67,Roadworks,J45 - J43|44,66,None,Tuesday
22/02/2022,18,J42 - J43|44,67,Roadworks,J43|44 - J42,70,None,Tuesday
22/02/2022,18,J41 - J42,61,Roadworks,J42 - J41,58,None,Tuesday
22/02/2022,18,J40 - J41,57,None,J41 - J40,58,None,Tuesday
22/02/2022,18,J39- J40,65,None,J40 - J39,62,None,Tuesday
22/02/2022,18,J38 - J39,66,None,J39 - J38,60,None,Tuesday
22/02/2022,18,J37 - J38,59,None,J38 - J37,56,None,Tuesday
